SUBJECT,ROW,TECHNIQUE,TASK,TRIAL,TRAINING,DATA
0,0,HoloLens,PointDistance,0,T,0
0,1,HoloLens,PointDistance,1,T,2
0,2,HoloLens,PointDistance,2,T,1
0,3,HoloLens,PointDistance,3,R,6
0,4,HoloLens,PointDistance,4,R,7
0,5,HoloLens,PointDistance,5,R,5
0,6,HoloLens,PointDistance,6,R,8
0,7,HoloLens,PointDistance,7,R,4
0,8,HoloLens,PointDistance,8,R,3
0,9,HoloLens,TouchingSegments,0,T,2
0,10,HoloLens,TouchingSegments,1,T,1
0,11,HoloLens,TouchingSegments,2,T,0
0,12,HoloLens,TouchingSegments,3,R,5
0,13,HoloLens,TouchingSegments,4,R,4
0,14,HoloLens,TouchingSegments,5,R,7
0,15,HoloLens,TouchingSegments,6,R,3
0,16,HoloLens,TouchingSegments,7,R,6
0,17,HoloLens,TouchingSegments,8,R,8
0,18,HoloLens,LargerTad,0,T,0
0,19,HoloLens,LargerTad,1,T,1
0,20,HoloLens,LargerTad,2,T,2
0,21,HoloLens,LargerTad,3,R,6
0,22,HoloLens,LargerTad,4,R,4
0,23,HoloLens,LargerTad,5,R,5
0,24,HoloLens,LargerTad,6,R,8
0,25,HoloLens,LargerTad,7,R,7
0,26,HoloLens,LargerTad,8,R,3
0,27,HoloLens,Triple,0,T,1
0,28,HoloLens,Triple,1,T,2
0,29,HoloLens,Triple,2,T,0
0,30,HoloLens,Triple,3,R,5
0,31,HoloLens,Triple,4,R,8
0,32,HoloLens,Triple,5,R,7
0,33,HoloLens,Triple,6,R,4
0,34,HoloLens,Triple,7,R,3
0,35,HoloLens,Triple,8,R,6
0,36,Projection,PointDistance,0,T,0
0,37,Projection,PointDistance,1,T,1
0,38,Projection,PointDistance,2,T,2
0,39,Projection,PointDistance,3,R,3
0,40,Projection,PointDistance,4,R,4
0,41,Projection,PointDistance,5,R,8
0,42,Projection,PointDistance,6,R,6
0,43,Projection,PointDistance,7,R,7
0,44,Projection,PointDistance,8,R,5
0,45,Projection,TouchingSegments,0,T,0
0,46,Projection,TouchingSegments,1,T,2
0,47,Projection,TouchingSegments,2,T,1
0,48,Projection,TouchingSegments,3,R,5
0,49,Projection,TouchingSegments,4,R,8
0,50,Projection,TouchingSegments,5,R,7
0,51,Projection,TouchingSegments,6,R,4
0,52,Projection,TouchingSegments,7,R,6
0,53,Projection,TouchingSegments,8,R,3
0,54,Projection,LargerTad,0,T,1
0,55,Projection,LargerTad,1,T,0
0,56,Projection,LargerTad,2,T,2
0,57,Projection,LargerTad,3,R,4
0,58,Projection,LargerTad,4,R,6
0,59,Projection,LargerTad,5,R,3
0,60,Projection,LargerTad,6,R,7
0,61,Projection,LargerTad,7,R,5
0,62,Projection,LargerTad,8,R,8
0,63,Projection,Triple,0,T,2
0,64,Projection,Triple,1,T,0
0,65,Projection,Triple,2,T,1
0,66,Projection,Triple,3,R,5
0,67,Projection,Triple,4,R,8
0,68,Projection,Triple,5,R,3
0,69,Projection,Triple,6,R,6
0,70,Projection,Triple,7,R,4
0,71,Projection,Triple,8,R,7
0,72,Heatmap,PointDistance,0,T,1
0,73,Heatmap,PointDistance,1,T,0
0,74,Heatmap,PointDistance,2,T,2
0,75,Heatmap,PointDistance,3,R,7
0,76,Heatmap,PointDistance,4,R,4
0,77,Heatmap,PointDistance,5,R,3
0,78,Heatmap,PointDistance,6,R,5
0,79,Heatmap,PointDistance,7,R,6
0,80,Heatmap,PointDistance,8,R,8
0,81,Heatmap,TouchingSegments,0,T,2
0,82,Heatmap,TouchingSegments,1,T,0
0,83,Heatmap,TouchingSegments,2,T,1
0,84,Heatmap,TouchingSegments,3,R,3
0,85,Heatmap,TouchingSegments,4,R,4
0,86,Heatmap,TouchingSegments,5,R,8
0,87,Heatmap,TouchingSegments,6,R,6
0,88,Heatmap,TouchingSegments,7,R,7
0,89,Heatmap,TouchingSegments,8,R,5
0,90,Heatmap,LargerTad,0,T,1
0,91,Heatmap,LargerTad,1,T,2
0,92,Heatmap,LargerTad,2,T,0
0,93,Heatmap,LargerTad,3,R,6
0,94,Heatmap,LargerTad,4,R,7
0,95,Heatmap,LargerTad,5,R,5
0,96,Heatmap,LargerTad,6,R,4
0,97,Heatmap,LargerTad,7,R,3
0,98,Heatmap,LargerTad,8,R,8
0,99,Heatmap,Triple,0,T,2
0,100,Heatmap,Triple,1,T,0
0,101,Heatmap,Triple,2,T,1
0,102,Heatmap,Triple,3,R,5
0,103,Heatmap,Triple,4,R,7
